player_id,player_name,role,specific_role,matches_played,roles_played
857574,Andriy Lunin,G,['G'],5,['G']
795064,Trent Alexander-Arnold,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",4,['D']
142622,Antonio Rüdiger,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",4,['D']
1176744,Dean Huijsen,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",5,['D']
792073,Ferland Mendy,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",5,['D']
831808,Federico Valverde,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",5,['M']
2237795,Thiago Pitarch,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",5,['M']
859025,Aurélien Tchouaméni,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",3,['M']
868812,Vinicius Júnior,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",5,"['M', 'F']"
991011,Jude Bellingham,F,"['ST', 'LW', 'RW', 'CF']",5,"['M', 'F']"
835485,Brahim Díaz,F,"['ST', 'LW', 'RW', 'CF']",5,"['M', 'F']"
851271,Fran García,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",5,['D']
1402716,Gonzalo García,F,"['ST', 'LW', 'RW', 'CF']",5,['F']
1403559,Franco Mastantuono,F,"['ST', 'LW', 'RW', 'CF']",4,['F']
973887,Eduardo Camavinga,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",5,['M']
1402688,César Palacios,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",1,['M']
1493226,Fran González,G,['G'],3,['G']
1403015,Sergio Mestre,G,['G'],2,['G']
1085081,Álvaro Carreras,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",4,['D']
1156645,Raúl Asencio,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",3,['D']
66492,David Alaba,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",5,['D']
1142689,David Jiménez,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",1,['D']
826643,Kylian Mbappé,F,"['ST', 'LW', 'RW', 'CF']",4,['F']
1142683,Manuel Ángel Morán,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",2,['M']
1975197,Javier Navarro Jimenez,G,['G'],2,['G']
138572,Dani Carvajal,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",4,['D']
1614687,Diego Aguado,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",1,['D']
1590121,Jorge Cestero,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",1,['M']
822519,Éder Militão,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",3,['D']
1091116,Arda Güler,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",3,['M']
547838,Dani Ceballos,M,"['CM', 'CDM', 'CAM', 'RM', 'LM']",3,['M']
1470066,Jesús Fortea,D,"['CB', 'LB', 'RB', 'LWB', 'RWB']",1,['D']
1546404,Daniel Yañez,F,"['ST', 'LW', 'RW', 'CF']",1,['F']
