player_id,heatmap1,heatmap2
259281,"[{'x': 8, 'y': 63}, {'x': 5, 'y': 51}, {'x': 7, 'y': 49}, {'x': 5, 'y': 49}, {'x': 22, 'y': 44}, {'x': 22, 'y': 44}, {'x': 7, 'y': 47}, {'x': 3, 'y': 51}, {'x': 3, 'y': 51}, {'x': 13, 'y': 50}, {'x': 4, 'y': 48}, {'x': 13, 'y': 38}, {'x': 14, 'y': 38}, {'x': 14, 'y': 45}, {'x': 35, 'y': 51}, {'x': 3, 'y': 49}, {'x': 3, 'y': 49}, {'x': 7, 'y': 47}, {'x': 6, 'y': 43}, {'x': 5, 'y': 50}, {'x': 12, 'y': 49}, {'x': 3, 'y': 58}, {'x': 12, 'y': 58}, {'x': 18, 'y': 50}, {'x': 5, 'y': 50}, {'x': 13, 'y': 61}, {'x': 4, 'y': 42}, {'x': 4, 'y': 42}, {'x': 24, 'y': 45}, {'x': 3, 'y': 43}, {'x': 4, 'y': 42}, {'x': 10, 'y': 45}, {'x': 10, 'y': 50}, {'x': 12, 'y': 35}, {'x': 15, 'y': 48}, {'x': 4, 'y': 53}, {'x': 13, 'y': 47}, {'x': 7, 'y': 52}, {'x': 8, 'y': 49}, {'x': 4, 'y': 83}, {'x': 7, 'y': 74}, {'x': 8, 'y': 54}, {'x': 21, 'y': 55}, {'x': 6, 'y': 51}, {'x': 27, 'y': 72}, {'x': 14, 'y': 50}, {'x': 4, 'y': 50}]","[{'x': 8, 'y': 63}, {'x': 5, 'y': 51}, {'x': 7, 'y': 49}, {'x': 5, 'y': 49}, {'x': 22, 'y': 44}, {'x': 22, 'y': 44}, {'x': 7, 'y': 47}, {'x': 3, 'y': 51}, {'x': 3, 'y': 51}, {'x': 13, 'y': 50}, {'x': 4, 'y': 48}, {'x': 13, 'y': 38}, {'x': 14, 'y': 38}, {'x': 14, 'y': 45}, {'x': 35, 'y': 51}, {'x': 3, 'y': 49}, {'x': 3, 'y': 49}, {'x': 7, 'y': 47}, {'x': 6, 'y': 43}, {'x': 5, 'y': 50}, {'x': 12, 'y': 49}, {'x': 3, 'y': 58}, {'x': 12, 'y': 58}, {'x': 18, 'y': 50}, {'x': 5, 'y': 50}, {'x': 13, 'y': 61}, {'x': 4, 'y': 42}, {'x': 4, 'y': 42}, {'x': 24, 'y': 45}, {'x': 3, 'y': 43}, {'x': 4, 'y': 42}, {'x': 10, 'y': 45}, {'x': 10, 'y': 50}, {'x': 12, 'y': 35}, {'x': 15, 'y': 48}, {'x': 4, 'y': 53}, {'x': 13, 'y': 47}, {'x': 7, 'y': 52}, {'x': 8, 'y': 49}, {'x': 4, 'y': 83}, {'x': 7, 'y': 74}, {'x': 8, 'y': 54}, {'x': 21, 'y': 55}, {'x': 6, 'y': 51}, {'x': 27, 'y': 72}, {'x': 14, 'y': 50}, {'x': 4, 'y': 50}, {'x': 5, 'y': 56}, {'x': 5, 'y': 52}, {'x': 12, 'y': 53}, {'x': 13, 'y': 69}, {'x': 14, 'y': 46}, {'x': 14, 'y': 53}]"
1089453,"[{'x': 31, 'y': 17}, {'x': 76, 'y': 27}, {'x': 84, 'y': 25}, {'x': 10, 'y': 5}, {'x': 5, 'y': 21}, {'x': 12, 'y': 8}, {'x': 53, 'y': 17}, {'x': 85, 'y': 47}, {'x': 33, 'y': 9}, {'x': 63, 'y': 23}, {'x': 26, 'y': 24}, {'x': 4, 'y': 46}, {'x': 36, 'y': 30}, {'x': 4, 'y': 11}, {'x': 29, 'y': 37}, {'x': 59, 'y': 21}, {'x': 40, 'y': 10}, {'x': 24, 'y': 16}, {'x': 27, 'y': 16}, {'x': 31, 'y': 19}, {'x': 18, 'y': 16}, {'x': 10, 'y': 10}, {'x': 15, 'y': 37}, {'x': 9, 'y': 18}, {'x': 22, 'y': 9}, {'x': 54, 'y': 16}, {'x': 47, 'y': 18}, {'x': 38, 'y': 12}, {'x': 68, 'y': 42}, {'x': 27, 'y': 39}, {'x': 2, 'y': 31}, {'x': 1, 'y': 32}, {'x': 61, 'y': 15}, {'x': 54, 'y': 26}, {'x': 28, 'y': 8}, {'x': 45, 'y': 22}, {'x': 61, 'y': 14}, {'x': 8, 'y': 48}, {'x': 72, 'y': 28}, {'x': 3, 'y': 20}, {'x': 2, 'y': 23}, {'x': 2, 'y': 23}]","[{'x': 31, 'y': 17}, {'x': 76, 'y': 27}, {'x': 84, 'y': 25}, {'x': 10, 'y': 5}, {'x': 5, 'y': 21}, {'x': 12, 'y': 8}, {'x': 53, 'y': 17}, {'x': 85, 'y': 47}, {'x': 33, 'y': 9}, {'x': 63, 'y': 23}, {'x': 26, 'y': 24}, {'x': 4, 'y': 46}, {'x': 36, 'y': 30}, {'x': 4, 'y': 11}, {'x': 29, 'y': 37}, {'x': 59, 'y': 21}, {'x': 40, 'y': 10}, {'x': 24, 'y': 16}, {'x': 27, 'y': 16}, {'x': 31, 'y': 19}, {'x': 18, 'y': 16}, {'x': 10, 'y': 10}, {'x': 15, 'y': 37}, {'x': 9, 'y': 18}, {'x': 22, 'y': 9}, {'x': 54, 'y': 16}, {'x': 47, 'y': 18}, {'x': 38, 'y': 12}, {'x': 68, 'y': 42}, {'x': 27, 'y': 39}, {'x': 2, 'y': 31}, {'x': 1, 'y': 32}, {'x': 61, 'y': 15}, {'x': 54, 'y': 26}, {'x': 28, 'y': 8}, {'x': 45, 'y': 22}, {'x': 61, 'y': 14}, {'x': 8, 'y': 48}, {'x': 72, 'y': 28}, {'x': 3, 'y': 20}, {'x': 2, 'y': 23}, {'x': 2, 'y': 23}]"
840414,"[{'x': 31, 'y': 46}, {'x': 68, 'y': 20}, {'x': 8, 'y': 27}, {'x': 5, 'y': 24}, {'x': 8, 'y': 22}, {'x': 4, 'y': 23}, {'x': 31, 'y': 30}, {'x': 27, 'y': 32}, {'x': 46, 'y': 67}, {'x': 45, 'y': 31}, {'x': 46, 'y': 49}, {'x': 23, 'y': 75}, {'x': 28, 'y': 56}, {'x': 7, 'y': 49}, {'x': 33, 'y': 25}, {'x': 32, 'y': 36}, {'x': 57, 'y': 49}, {'x': 55, 'y': 44}, {'x': 53, 'y': 34}, {'x': 55, 'y': 46}, {'x': 74, 'y': 27}, {'x': 39, 'y': 34}, {'x': 33, 'y': 51}, {'x': 29, 'y': 54}, {'x': 27, 'y': 19}, {'x': 47, 'y': 56}, {'x': 21, 'y': 30}, {'x': 8, 'y': 51}, {'x': 62, 'y': 45}, {'x': 63, 'y': 13}, {'x': 88, 'y': 11}, {'x': 8, 'y': 51}, {'x': 31, 'y': 13}, {'x': 20, 'y': 37}, {'x': 36, 'y': 42}, {'x': 39, 'y': 42}, {'x': 54, 'y': 36}, {'x': 55, 'y': 53}, {'x': 44, 'y': 68}, {'x': 43, 'y': 29}, {'x': 10, 'y': 17}, {'x': 14, 'y': 41}, {'x': 51, 'y': 70}, {'x': 52, 'y': 53}, {'x': 34, 'y': 52}, {'x': 24, 'y': 41}, {'x': 14, 'y': 42}, {'x': 11, 'y': 85}, {'x': 10, 'y': 40}, {'x': 9, 'y': 40}, {'x': 30, 'y': 48}, {'x': 35, 'y': 81}, {'x': 36, 'y': 10}, {'x': 32, 'y': 12}, {'x': 37, 'y': 15}, {'x': 61, 'y': 26}, {'x': 13, 'y': 54}, {'x': 24, 'y': 57}, {'x': 25, 'y': 45}, {'x': 32, 'y': 55}]","[{'x': 31, 'y': 46}, {'x': 68, 'y': 20}, {'x': 8, 'y': 27}, {'x': 5, 'y': 24}, {'x': 8, 'y': 22}, {'x': 4, 'y': 23}, {'x': 31, 'y': 30}, {'x': 27, 'y': 32}, {'x': 46, 'y': 67}, {'x': 45, 'y': 31}, {'x': 46, 'y': 49}, {'x': 23, 'y': 75}, {'x': 28, 'y': 56}, {'x': 7, 'y': 49}, {'x': 33, 'y': 25}, {'x': 32, 'y': 36}, {'x': 57, 'y': 49}, {'x': 55, 'y': 44}, {'x': 53, 'y': 34}, {'x': 55, 'y': 46}, {'x': 74, 'y': 27}, {'x': 39, 'y': 34}, {'x': 33, 'y': 51}, {'x': 29, 'y': 54}, {'x': 27, 'y': 19}, {'x': 47, 'y': 56}, {'x': 21, 'y': 30}, {'x': 8, 'y': 51}, {'x': 62, 'y': 45}, {'x': 63, 'y': 13}, {'x': 88, 'y': 11}, {'x': 8, 'y': 51}, {'x': 31, 'y': 13}, {'x': 20, 'y': 37}, {'x': 36, 'y': 42}, {'x': 39, 'y': 42}, {'x': 54, 'y': 36}, {'x': 55, 'y': 53}, {'x': 44, 'y': 68}, {'x': 43, 'y': 29}, {'x': 10, 'y': 17}, {'x': 14, 'y': 41}, {'x': 51, 'y': 70}, {'x': 52, 'y': 53}, {'x': 34, 'y': 52}, {'x': 24, 'y': 41}, {'x': 14, 'y': 42}, {'x': 11, 'y': 85}, {'x': 10, 'y': 40}, {'x': 9, 'y': 40}, {'x': 30, 'y': 48}, {'x': 35, 'y': 81}, {'x': 36, 'y': 10}, {'x': 32, 'y': 12}, {'x': 37, 'y': 15}, {'x': 61, 'y': 26}, {'x': 13, 'y': 54}, {'x': 24, 'y': 57}, {'x': 25, 'y': 45}, {'x': 32, 'y': 55}, {'x': 32, 'y': 29}, {'x': 48, 'y': 48}, {'x': 47, 'y': 21}, {'x': 27, 'y': 40}, {'x': 19, 'y': 49}, {'x': 7, 'y': 54}, {'x': 35, 'y': 49}, {'x': 12, 'y': 48}]"
848279,"[{'x': 28, 'y': 90}, {'x': 63, 'y': 94}, {'x': 46, 'y': 80}, {'x': 53, 'y': 65}, {'x': 45, 'y': 73}, {'x': 66, 'y': 50}, {'x': 22, 'y': 94}, {'x': 5, 'y': 61}, {'x': 4, 'y': 61}, {'x': 25, 'y': 67}, {'x': 30, 'y': 81}, {'x': 41, 'y': 76}, {'x': 4, 'y': 60}, {'x': 21, 'y': 71}, {'x': 63, 'y': 71}, {'x': 59, 'y': 67}, {'x': 61, 'y': 71}, {'x': 38, 'y': 49}, {'x': 38, 'y': 49}, {'x': 4, 'y': 59}, {'x': 41, 'y': 76}, {'x': 63, 'y': 80}, {'x': 18, 'y': 49}, {'x': 14, 'y': 76}, {'x': 31, 'y': 60}, {'x': 55, 'y': 65}, {'x': 35, 'y': 35}, {'x': 61, 'y': 67}, {'x': 17, 'y': 51}, {'x': 5, 'y': 15}, {'x': 22, 'y': 80}, {'x': 24, 'y': 69}, {'x': 43, 'y': 86}, {'x': 63, 'y': 70}, {'x': 57, 'y': 73}, {'x': 6, 'y': 58}, {'x': 62, 'y': 85}, {'x': 64, 'y': 89}, {'x': 57, 'y': 88}, {'x': 63, 'y': 85}, {'x': 57, 'y': 94}, {'x': 40, 'y': 76}, {'x': 21, 'y': 74}, {'x': 45, 'y': 58}, {'x': 4, 'y': 57}, {'x': 8, 'y': 70}, {'x': 27, 'y': 92}, {'x': 62, 'y': 37}, {'x': 11, 'y': 88}, {'x': 65, 'y': 75}, {'x': 26, 'y': 82}, {'x': 37, 'y': 83}, {'x': 36, 'y': 80}, {'x': 40, 'y': 79}, {'x': 23, 'y': 76}, {'x': 23, 'y': 76}, {'x': 24, 'y': 87}, {'x': 31, 'y': 91}, {'x': 31, 'y': 90}, {'x': 69, 'y': 83}, {'x': 24, 'y': 92}]","[{'x': 28, 'y': 90}, {'x': 63, 'y': 94}, {'x': 46, 'y': 80}, {'x': 53, 'y': 65}, {'x': 45, 'y': 73}, {'x': 66, 'y': 50}, {'x': 22, 'y': 94}, {'x': 5, 'y': 61}, {'x': 4, 'y': 61}, {'x': 25, 'y': 67}, {'x': 30, 'y': 81}, {'x': 41, 'y': 76}, {'x': 4, 'y': 60}, {'x': 21, 'y': 71}, {'x': 63, 'y': 71}, {'x': 59, 'y': 67}, {'x': 61, 'y': 71}, {'x': 38, 'y': 49}, {'x': 38, 'y': 49}, {'x': 4, 'y': 59}, {'x': 41, 'y': 76}, {'x': 63, 'y': 80}, {'x': 18, 'y': 49}, {'x': 14, 'y': 76}, {'x': 31, 'y': 60}, {'x': 55, 'y': 65}, {'x': 35, 'y': 35}, {'x': 61, 'y': 67}, {'x': 17, 'y': 51}, {'x': 5, 'y': 15}, {'x': 22, 'y': 80}, {'x': 24, 'y': 69}, {'x': 43, 'y': 86}, {'x': 63, 'y': 70}, {'x': 57, 'y': 73}, {'x': 6, 'y': 58}, {'x': 62, 'y': 85}, {'x': 64, 'y': 89}, {'x': 57, 'y': 88}, {'x': 63, 'y': 85}, {'x': 57, 'y': 94}, {'x': 40, 'y': 76}, {'x': 21, 'y': 74}, {'x': 45, 'y': 58}, {'x': 4, 'y': 57}, {'x': 8, 'y': 70}, {'x': 27, 'y': 92}, {'x': 62, 'y': 37}, {'x': 11, 'y': 88}, {'x': 65, 'y': 75}, {'x': 26, 'y': 82}, {'x': 37, 'y': 83}, {'x': 36, 'y': 80}, {'x': 40, 'y': 79}, {'x': 23, 'y': 76}, {'x': 23, 'y': 76}, {'x': 24, 'y': 87}, {'x': 31, 'y': 91}, {'x': 31, 'y': 90}, {'x': 69, 'y': 83}, {'x': 24, 'y': 92}, {'x': 23, 'y': 68}, {'x': 26, 'y': 83}, {'x': 51, 'y': 74}, {'x': 37, 'y': 92}, {'x': 28, 'y': 55}, {'x': 28, 'y': 55}, {'x': 26, 'y': 72}, {'x': 73, 'y': 89}]"
233826,"[{'x': 64, 'y': 10}, {'x': 54, 'y': 6}, {'x': 66, 'y': 8}, {'x': 78, 'y': 7}, {'x': 78, 'y': 0}, {'x': 62, 'y': 7}, {'x': 75, 'y': 3}, {'x': 70, 'y': 20}, {'x': 83, 'y': 0}, {'x': 76, 'y': 5}, {'x': 14, 'y': 40}, {'x': 41, 'y': 3}, {'x': 93, 'y': 7}, {'x': 39, 'y': 9}, {'x': 24, 'y': 8}, {'x': 24, 'y': 8}, {'x': 35, 'y': 10}, {'x': 68, 'y': 7}, {'x': 43, 'y': 6}, {'x': 43, 'y': 6}, {'x': 85, 'y': 6}, {'x': 93, 'y': 9}, {'x': 94, 'y': 8}, {'x': 56, 'y': 64}, {'x': 31, 'y': 90}, {'x': 30, 'y': 14}]","[{'x': 64, 'y': 10}, {'x': 54, 'y': 6}, {'x': 66, 'y': 8}, {'x': 78, 'y': 7}, {'x': 78, 'y': 0}, {'x': 62, 'y': 7}, {'x': 75, 'y': 3}, {'x': 70, 'y': 20}, {'x': 83, 'y': 0}, {'x': 76, 'y': 5}, {'x': 14, 'y': 40}, {'x': 41, 'y': 3}, {'x': 93, 'y': 7}, {'x': 39, 'y': 9}, {'x': 24, 'y': 8}, {'x': 24, 'y': 8}, {'x': 35, 'y': 10}, {'x': 68, 'y': 7}, {'x': 43, 'y': 6}, {'x': 43, 'y': 6}, {'x': 85, 'y': 6}, {'x': 93, 'y': 9}, {'x': 94, 'y': 8}, {'x': 56, 'y': 64}, {'x': 31, 'y': 90}, {'x': 30, 'y': 14}]"
1142612,"[{'x': 73, 'y': 30}, {'x': 53, 'y': 32}, {'x': 62, 'y': 38}, {'x': 68, 'y': 48}, {'x': 67, 'y': 33}, {'x': 66, 'y': 23}, {'x': 67, 'y': 58}, {'x': 33, 'y': 36}, {'x': 60, 'y': 29}, {'x': 57, 'y': 19}, {'x': 64, 'y': 55}, {'x': 65, 'y': 42}, {'x': 67, 'y': 56}, {'x': 28, 'y': 69}, {'x': 28, 'y': 69}, {'x': 63, 'y': 30}, {'x': 59, 'y': 30}, {'x': 72, 'y': 25}, {'x': 71, 'y': 20}, {'x': 69, 'y': 47}, {'x': 60, 'y': 64}, {'x': 53, 'y': 25}, {'x': 8, 'y': 24}, {'x': 28, 'y': 47}, {'x': 63, 'y': 39}, {'x': 37, 'y': 59}, {'x': 38, 'y': 38}, {'x': 37, 'y': 38}, {'x': 30, 'y': 73}, {'x': 36, 'y': 66}, {'x': 46, 'y': 52}, {'x': 65, 'y': 24}, {'x': 78, 'y': 60}, {'x': 34, 'y': 74}, {'x': 90, 'y': 22}, {'x': 40, 'y': 72}, {'x': 40, 'y': 72}, {'x': 62, 'y': 20}, {'x': 80, 'y': 32}, {'x': 36, 'y': 82}]","[{'x': 73, 'y': 30}, {'x': 53, 'y': 32}, {'x': 62, 'y': 38}, {'x': 68, 'y': 48}, {'x': 67, 'y': 33}, {'x': 66, 'y': 23}, {'x': 67, 'y': 58}, {'x': 33, 'y': 36}, {'x': 60, 'y': 29}, {'x': 57, 'y': 19}, {'x': 64, 'y': 55}, {'x': 65, 'y': 42}, {'x': 67, 'y': 56}, {'x': 28, 'y': 69}, {'x': 28, 'y': 69}, {'x': 63, 'y': 30}, {'x': 59, 'y': 30}, {'x': 72, 'y': 25}, {'x': 71, 'y': 20}, {'x': 69, 'y': 47}, {'x': 60, 'y': 64}, {'x': 53, 'y': 25}, {'x': 8, 'y': 24}, {'x': 28, 'y': 47}, {'x': 63, 'y': 39}, {'x': 37, 'y': 59}, {'x': 38, 'y': 38}, {'x': 37, 'y': 38}, {'x': 30, 'y': 73}, {'x': 36, 'y': 66}, {'x': 46, 'y': 52}, {'x': 65, 'y': 24}, {'x': 78, 'y': 60}, {'x': 34, 'y': 74}, {'x': 90, 'y': 22}, {'x': 40, 'y': 72}, {'x': 40, 'y': 72}, {'x': 62, 'y': 20}, {'x': 80, 'y': 32}, {'x': 36, 'y': 82}, {'x': 29, 'y': 68}, {'x': 68, 'y': 38}, {'x': 14, 'y': 86}, {'x': 9, 'y': 66}, {'x': 36, 'y': 28}]"
1030829,"[{'x': 8, 'y': 92}, {'x': 8, 'y': 96}, {'x': 89, 'y': 71}, {'x': 89, 'y': 71}, {'x': 58, 'y': 70}, {'x': 34, 'y': 84}, {'x': 35, 'y': 84}, {'x': 65, 'y': 89}, {'x': 81, 'y': 45}, {'x': 24, 'y': 48}, {'x': 72, 'y': 75}, {'x': 71, 'y': 53}, {'x': 69, 'y': 50}, {'x': 68, 'y': 48}, {'x': 67, 'y': 60}, {'x': 66, 'y': 66}, {'x': 86, 'y': 50}, {'x': 86, 'y': 50}, {'x': 29, 'y': 82}, {'x': 30, 'y': 78}, {'x': 55, 'y': 84}, {'x': 60, 'y': 74}, {'x': 68, 'y': 85}, {'x': 67, 'y': 72}, {'x': 12, 'y': 54}, {'x': 69, 'y': 82}, {'x': 66, 'y': 55}, {'x': 57, 'y': 84}, {'x': 38, 'y': 66}, {'x': 34, 'y': 69}, {'x': 74, 'y': 36}, {'x': 71, 'y': 43}, {'x': 73, 'y': 43}, {'x': 67, 'y': 77}, {'x': 17, 'y': 38}, {'x': 60, 'y': 71}, {'x': 60, 'y': 71}, {'x': 44, 'y': 54}]","[{'x': 8, 'y': 92}, {'x': 8, 'y': 96}, {'x': 89, 'y': 71}, {'x': 89, 'y': 71}, {'x': 58, 'y': 70}, {'x': 34, 'y': 84}, {'x': 35, 'y': 84}, {'x': 65, 'y': 89}, {'x': 81, 'y': 45}, {'x': 24, 'y': 48}, {'x': 72, 'y': 75}, {'x': 71, 'y': 53}, {'x': 69, 'y': 50}, {'x': 68, 'y': 48}, {'x': 67, 'y': 60}, {'x': 66, 'y': 66}, {'x': 86, 'y': 50}, {'x': 86, 'y': 50}, {'x': 29, 'y': 82}, {'x': 30, 'y': 78}, {'x': 55, 'y': 84}, {'x': 60, 'y': 74}, {'x': 68, 'y': 85}, {'x': 67, 'y': 72}, {'x': 12, 'y': 54}, {'x': 69, 'y': 82}, {'x': 66, 'y': 55}, {'x': 57, 'y': 84}, {'x': 38, 'y': 66}, {'x': 34, 'y': 69}, {'x': 74, 'y': 36}, {'x': 71, 'y': 43}, {'x': 73, 'y': 43}, {'x': 67, 'y': 77}, {'x': 17, 'y': 38}, {'x': 60, 'y': 71}, {'x': 60, 'y': 71}, {'x': 44, 'y': 54}]"
1142692,"[{'x': 99, 'y': 0}, {'x': 92, 'y': 5}, {'x': 22, 'y': 94}, {'x': 41, 'y': 96}, {'x': 62, 'y': 95}, {'x': 13, 'y': 85}, {'x': 8, 'y': 53}, {'x': 32, 'y': 49}, {'x': 71, 'y': 81}, {'x': 71, 'y': 89}, {'x': 10, 'y': 85}, {'x': 32, 'y': 77}, {'x': 80, 'y': 74}, {'x': 63, 'y': 73}, {'x': 87, 'y': 77}, {'x': 11, 'y': 81}, {'x': 11, 'y': 81}, {'x': 99, 'y': 99}, {'x': 28, 'y': 100}, {'x': 59, 'y': 93}, {'x': 11, 'y': 62}, {'x': 86, 'y': 100}, {'x': 72, 'y': 93}, {'x': 95, 'y': 79}, {'x': 71, 'y': 95}, {'x': 70, 'y': 93}, {'x': 21, 'y': 86}, {'x': 99, 'y': 0}, {'x': 9, 'y': 84}, {'x': 3, 'y': 75}, {'x': 31, 'y': 92}, {'x': 44, 'y': 100}, {'x': 39, 'y': 71}, {'x': 99, 'y': 99}, {'x': 92, 'y': 90}, {'x': 43, 'y': 84}, {'x': 90, 'y': 90}, {'x': 91, 'y': 92}, {'x': 72, 'y': 100}, {'x': 79, 'y': 95}]","[{'x': 99, 'y': 0}, {'x': 92, 'y': 5}, {'x': 22, 'y': 94}, {'x': 41, 'y': 96}, {'x': 62, 'y': 95}, {'x': 13, 'y': 85}, {'x': 8, 'y': 53}, {'x': 32, 'y': 49}, {'x': 71, 'y': 81}, {'x': 71, 'y': 89}, {'x': 10, 'y': 85}, {'x': 32, 'y': 77}, {'x': 80, 'y': 74}, {'x': 63, 'y': 73}, {'x': 87, 'y': 77}, {'x': 11, 'y': 81}, {'x': 11, 'y': 81}, {'x': 99, 'y': 99}, {'x': 28, 'y': 100}, {'x': 59, 'y': 93}, {'x': 11, 'y': 62}, {'x': 86, 'y': 100}, {'x': 72, 'y': 93}, {'x': 95, 'y': 79}, {'x': 71, 'y': 95}, {'x': 70, 'y': 93}, {'x': 21, 'y': 86}, {'x': 99, 'y': 0}, {'x': 9, 'y': 84}, {'x': 3, 'y': 75}, {'x': 31, 'y': 92}, {'x': 44, 'y': 100}, {'x': 39, 'y': 71}, {'x': 99, 'y': 99}, {'x': 92, 'y': 90}, {'x': 43, 'y': 84}, {'x': 90, 'y': 90}, {'x': 91, 'y': 92}, {'x': 72, 'y': 100}, {'x': 79, 'y': 95}, {'x': 26, 'y': 88}, {'x': 68, 'y': 62}, {'x': 10, 'y': 85}, {'x': 18, 'y': 89}, {'x': 44, 'y': 88}, {'x': 99, 'y': 0}]"
357596,"[{'x': 87, 'y': 11}, {'x': 87, 'y': 49}, {'x': 88, 'y': 50}, {'x': 38, 'y': 55}, {'x': 59, 'y': 19}, {'x': 83, 'y': 11}, {'x': 87, 'y': 24}, {'x': 33, 'y': 19}, {'x': 63, 'y': 24}, {'x': 68, 'y': 28}, {'x': 92, 'y': 14}, {'x': 35, 'y': 25}, {'x': 35, 'y': 25}, {'x': 65, 'y': 9}, {'x': 86, 'y': 25}, {'x': 65, 'y': 30}, {'x': 45, 'y': 46}, {'x': 47, 'y': 43}, {'x': 35, 'y': 12}, {'x': 34, 'y': 13}, {'x': 34, 'y': 18}, {'x': 65, 'y': 66}, {'x': 25, 'y': 15}, {'x': 65, 'y': 50}, {'x': 57, 'y': 36}, {'x': 65, 'y': 26}, {'x': 68, 'y': 10}, {'x': 58, 'y': 8}, {'x': 71, 'y': 47}, {'x': 37, 'y': 22}, {'x': 48, 'y': 26}, {'x': 59, 'y': 26}, {'x': 64, 'y': 40}, {'x': 75, 'y': 17}, {'x': 75, 'y': 17}, {'x': 72, 'y': 57}, {'x': 3, 'y': 39}, {'x': 32, 'y': 19}, {'x': 79, 'y': 12}, {'x': 75, 'y': 7}, {'x': 28, 'y': 34}, {'x': 66, 'y': 63}, {'x': 73, 'y': 80}, {'x': 65, 'y': 82}, {'x': 34, 'y': 77}, {'x': 58, 'y': 70}, {'x': 44, 'y': 76}, {'x': 58, 'y': 28}, {'x': 14, 'y': 56}, {'x': 61, 'y': 14}, {'x': 45, 'y': 15}]","[{'x': 87, 'y': 11}, {'x': 87, 'y': 49}, {'x': 88, 'y': 50}, {'x': 38, 'y': 55}, {'x': 59, 'y': 19}, {'x': 83, 'y': 11}, {'x': 87, 'y': 24}, {'x': 33, 'y': 19}, {'x': 63, 'y': 24}, {'x': 68, 'y': 28}, {'x': 92, 'y': 14}, {'x': 35, 'y': 25}, {'x': 35, 'y': 25}, {'x': 65, 'y': 9}, {'x': 86, 'y': 25}, {'x': 65, 'y': 30}, {'x': 45, 'y': 46}, {'x': 47, 'y': 43}, {'x': 35, 'y': 12}, {'x': 34, 'y': 13}, {'x': 34, 'y': 18}, {'x': 65, 'y': 66}, {'x': 25, 'y': 15}, {'x': 65, 'y': 50}, {'x': 57, 'y': 36}, {'x': 65, 'y': 26}, {'x': 68, 'y': 10}, {'x': 58, 'y': 8}, {'x': 71, 'y': 47}, {'x': 37, 'y': 22}, {'x': 48, 'y': 26}, {'x': 59, 'y': 26}, {'x': 64, 'y': 40}, {'x': 75, 'y': 17}, {'x': 75, 'y': 17}, {'x': 72, 'y': 57}, {'x': 3, 'y': 39}, {'x': 32, 'y': 19}, {'x': 79, 'y': 12}, {'x': 75, 'y': 7}, {'x': 28, 'y': 34}, {'x': 66, 'y': 63}, {'x': 73, 'y': 80}, {'x': 65, 'y': 82}, {'x': 34, 'y': 77}, {'x': 58, 'y': 70}, {'x': 44, 'y': 76}, {'x': 58, 'y': 28}, {'x': 14, 'y': 56}, {'x': 61, 'y': 14}, {'x': 45, 'y': 15}, {'x': 53, 'y': 88}, {'x': 88, 'y': 50}, {'x': 55, 'y': 68}, {'x': 75, 'y': 30}, {'x': 33, 'y': 75}, {'x': 15, 'y': 71}, {'x': 86, 'y': 94}]"
773409,"[{'x': 34, 'y': 75}, {'x': 27, 'y': 89}, {'x': 26, 'y': 82}, {'x': 25, 'y': 93}, {'x': 24, 'y': 92}, {'x': 64, 'y': 75}, {'x': 45, 'y': 67}, {'x': 66, 'y': 52}, {'x': 48, 'y': 52}, {'x': 64, 'y': 45}, {'x': 36, 'y': 94}, {'x': 62, 'y': 73}, {'x': 49, 'y': 75}, {'x': 74, 'y': 70}, {'x': 62, 'y': 47}, {'x': 72, 'y': 57}, {'x': 45, 'y': 79}, {'x': 68, 'y': 57}, {'x': 32, 'y': 88}, {'x': 35, 'y': 86}, {'x': 35, 'y': 94}, {'x': 61, 'y': 94}, {'x': 42, 'y': 75}, {'x': 74, 'y': 45}, {'x': 71, 'y': 77}, {'x': 43, 'y': 83}, {'x': 33, 'y': 75}, {'x': 31, 'y': 63}, {'x': 28, 'y': 57}, {'x': 63, 'y': 88}, {'x': 65, 'y': 83}]","[{'x': 34, 'y': 75}, {'x': 27, 'y': 89}, {'x': 26, 'y': 82}, {'x': 25, 'y': 93}, {'x': 24, 'y': 92}, {'x': 64, 'y': 75}, {'x': 45, 'y': 67}, {'x': 66, 'y': 52}, {'x': 48, 'y': 52}, {'x': 64, 'y': 45}, {'x': 36, 'y': 94}, {'x': 62, 'y': 73}, {'x': 49, 'y': 75}, {'x': 74, 'y': 70}, {'x': 62, 'y': 47}, {'x': 72, 'y': 57}, {'x': 45, 'y': 79}, {'x': 68, 'y': 57}, {'x': 32, 'y': 88}, {'x': 35, 'y': 86}, {'x': 35, 'y': 94}, {'x': 61, 'y': 94}, {'x': 42, 'y': 75}, {'x': 74, 'y': 45}, {'x': 71, 'y': 77}, {'x': 43, 'y': 83}, {'x': 33, 'y': 75}, {'x': 31, 'y': 63}, {'x': 28, 'y': 57}, {'x': 63, 'y': 88}, {'x': 65, 'y': 83}]"
