id,name,shirt_number,team_id,position,totalPass_1,accuratePass_1,totalLongBalls_1,accurateLongBalls_1,goalAssist_1,accurateOwnHalfPasses_1,totalOwnHalfPasses_1,accurateOppositionHalfPasses_1,totalOppositionHalfPasses_1,totalClearance_1,ballRecovery_1,goodHighClaim_1,savedShotsFromInsideTheBox_1,saves_1,punches_1,minutesPlayed_1,touches_1,rating_1,possessionLostCtrl_1,expectedAssists_1,totalBallCarriesDistance_1,ballCarriesCount_1,totalProgression_1,progressiveBallCarriesCount_1,keeperSaveValue_1,totalShots_1,goalsPrevented_1,passValueNormalized_1,dribbleValueNormalized_1,defensiveValueNormalized_1,goalkeeperValueNormalized_1,duelWon_1,shotOffTarget_1,outfielderBlock_1,interceptionWon_1,totalTackle_1,wonTackle_1,expectedGoals_1,bestBallCarryProgression_1,totalProgressiveBallCarriesDistance_1,keyPass_1,shotValueNormalized_1,duelLost_1,lastManTackle_1,wasFouled_1,fouls_1,aerialWon_1,unsuccessfulTouch_1,totalCross_1,totalContest_1,wonContest_1,accurateCross_1,bigChanceCreated_1,blockedScoringAttempt_1,dispossessed_1,aerialLost_1,onTargetScoringAttempt_1,goals_1,expectedGoalsOnTarget_1,bigChanceMissed_1,totalOffside_1,totalPass_2,accuratePass_2,totalLongBalls_2,accurateLongBalls_2,goalAssist_2,accurateOwnHalfPasses_2,totalOwnHalfPasses_2,accurateOppositionHalfPasses_2,totalOppositionHalfPasses_2,totalClearance_2,ballRecovery_2,goodHighClaim_2,savedShotsFromInsideTheBox_2,saves_2,punches_2,minutesPlayed_2,touches_2,rating_2,possessionLostCtrl_2,expectedAssists_2,totalBallCarriesDistance_2,ballCarriesCount_2,totalProgression_2,progressiveBallCarriesCount_2,keeperSaveValue_2,totalShots_2,goalsPrevented_2,passValueNormalized_2,dribbleValueNormalized_2,defensiveValueNormalized_2,goalkeeperValueNormalized_2,duelWon_2,shotOffTarget_2,outfielderBlock_2,interceptionWon_2,totalTackle_2,wonTackle_2,expectedGoals_2,bestBallCarryProgression_2,totalProgressiveBallCarriesDistance_2,keyPass_2,shotValueNormalized_2,duelLost_2,lastManTackle_2,wasFouled_2,fouls_2,aerialWon_2,unsuccessfulTouch_2,totalCross_2,totalContest_2,wonContest_2,accurateCross_2,bigChanceCreated_2,blockedScoringAttempt_2,dispossessed_2,aerialLost_2,onTargetScoringAttempt_2,goals_2,expectedGoalsOnTarget_2,bigChanceMissed_2,totalOffside_2
259281,Alberto Paleari,1,2696,G,27.0,16.0,16.0,5.0,0.0,13.0,15.0,3.0,12.0,1.0,12.0,2.0,2.0,3.0,1.0,80,36.0,6.6,11.0,0.0012,24.835,4.0,15.9301,0.0,0.2656,0,-0.1788,0.0444,0.0089,-0.1422,0.1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,18.0,18.0,6.0,0.0,15.0,17.0,3.0,13.0,1.0,14.0,2.0,2.0,3.0,1.0,90.0,40.0,6.6,12.0,0.00129848,27.939341760861,5.0,17.921379309627,0.0,0.2988,0,-0.2012,0.05,0.01,-0.16,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089453,Saúl Coco,23,2696,D,24.0,16.0,5.0,1.0,0.0,8.0,11.0,8.0,13.0,3.0,2.0,,,,,53,38.0,7.1,8.0,0.1895,68.2983,7.0,53.6706,1.0,,1,,0.33,0.12,0.19,,3.0,1.0,1.0,3.0,3.0,1.0,0.0992,19.6624,19.6665,1.0,-0.45,,,,,,,,,,,,,,,,,,,,24.0,16.0,5.0,1.0,0.0,8.0,11.0,8.0,13.0,3.0,2.0,,,,,53.0,38.0,7.1,8.0,0.189491,68.298288955909,7.0,53.670577630401,1.0,,1,,0.33,0.12,0.19,,3.0,1.0,1.0,3.0,3.0,1.0,0.0992,19.662358516948,19.666481637548,1.0,-0.45,,,,,,,,,,,,,,,,,,,
840414,Ardian Ismajli,44,2696,D,41.0,36.0,4.0,2.0,0.0,20.0,21.0,16.0,20.0,5.0,3.0,,,,,80,53.0,7.5,4.0,0.0139,88.6725,10.0,34.4653,1.0,,0,,0.1867,0.0356,0.7822,,3.0,,2.0,1.0,2.0,2.0,,15.8602,18.657,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,46.0,41.0,4.0,2.0,0.0,23.0,24.0,18.0,22.0,6.0,3.0,,,,,90.0,60.0,7.5,5.0,0.0156115,99.756562829882,11.0,38.773422753818,1.0,,0,,0.21,0.04,0.88,,3.0,,2.0,1.0,2.0,2.0,,17.842730632894,20.989134712989,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
848279,Enzo Ebosse,77,2696,D,44.0,41.0,4.0,3.0,0.0,28.0,28.0,13.0,15.0,4.0,4.0,,,,,80,50.0,6.2,4.0,0.006,65.6746,10.0,16.6883,0.0,,0,,0.0978,0.0178,-0.2489,,2.0,,,1.0,1.0,,,,,,,4.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,49.0,46.0,4.0,3.0,0.0,31.0,32.0,15.0,17.0,4.0,4.0,,,,,90.0,56.0,6.2,4.0,0.00676062,73.883932768779,11.0,18.774304510975,0.0,,0,,0.11,0.02,-0.28,,2.0,,,1.0,1.0,,,,,,,5.0,,,5.0,1.0,1.0,,,,,,,,,,,,,
233826,Valentino Lazaro,20,2696,M,14.0,10.0,3.0,2.0,0.0,6.0,7.0,4.0,7.0,,2.0,,,,,54,23.0,6.9,8.0,0.0065,91.1442,8.0,40.0901,1.0,,0,,0.1,0.04,0.17,,2.0,,,,1.0,,,28.4903,32.0988,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,14.0,10.0,3.0,2.0,0.0,6.0,7.0,4.0,7.0,,2.0,,,,,54.0,23.0,6.9,8.0,0.00645967,91.144186225423,8.0,40.090132864744,1.0,,0,,0.1,0.04,0.17,,2.0,,,,1.0,,,28.490286601542,32.098841116152,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,
1142612,Emirhan İlkhan,6,2696,M,29.0,23.0,7.0,5.0,1.0,7.0,8.0,16.0,21.0,1.0,2.0,,,,,80,37.0,7.4,6.0,0.1589,16.2853,4.0,11.2902,0.0,,1,,0.48,0.0978,-0.0356,,2.0,,,1.0,,,0.0309,,,3.0,0.0,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,33.0,26.0,8.0,6.0,1.0,8.0,9.0,18.0,24.0,1.0,2.0,,,,,90.0,42.0,7.4,7.0,0.178786,18.321014735935,5.0,12.701471225627,0.0,,1,,0.54,0.11,-0.04,,2.0,,,1.0,,,0.0348,,,3.0,0.0,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,
1030829,Gvidas Gineitis,66,2696,M,22.0,18.0,3.0,1.0,0.0,5.0,5.0,13.0,17.0,1.0,4.0,,,,,67,30.0,6.9,6.0,0.1316,45.2247,6.0,13.8144,0.0,,2,,0.3,0.12,-0.03,,3.0,,1.0,,1.0,1.0,0.0551,,,,-0.04,1.0,,1.0,,1.0,1.0,,,,,,2.0,1.0,,,,,,,22.0,18.0,3.0,1.0,0.0,5.0,5.0,13.0,17.0,1.0,4.0,,,,,67.0,30.0,6.9,6.0,0.131646,45.224710884058,6.0,13.814426427167,0.0,,2,,0.3,0.12,-0.03,,3.0,,1.0,,1.0,1.0,0.0551,,,,-0.04,1.0,,1.0,,1.0,1.0,,,,,,2.0,1.0,,,,,,
1142692,Rafael Obrador,33,2696,M,21.0,17.0,3.0,2.0,0.0,7.0,10.0,10.0,12.0,2.0,1.0,,,,,80,38.0,6.6,12.0,0.0561,54.2975,6.0,33.6264,1.0,,1,,-0.0178,0.1778,-0.0444,,1.0,1.0,,2.0,1.0,1.0,0.0229,13.2545,13.2872,1.0,-0.0444,2.0,,,,,,8.0,,,1.0,,,,2.0,,,,,,24.0,19.0,3.0,2.0,0.0,8.0,11.0,11.0,13.0,2.0,1.0,,,,,90.0,43.0,6.6,13.0,0.0631042,61.084718713661,7.0,37.829660972345,1.0,,1,,-0.02,0.2,-0.05,,1.0,1.0,,2.0,1.0,1.0,0.0258,14.911340272723,14.948070945778,1.0,-0.05,2.0,,,,,,9.0,,,1.0,,,,2.0,,,,,
357596,Nikola Vlašić,10,2696,F,34.0,29.0,,,0.0,10.0,10.0,20.0,24.0,1.0,3.0,,,,,80,44.0,7.4,9.0,0.1253,123.3081,12.0,38.228,2.0,,1,,0.2311,0.1333,0.1156,,4.0,,,,2.0,,0.7008,13.6063,28.9502,2.0,0.2844,4.0,,1.0,,,2.0,,2.0,1.0,,,,1.0,2.0,1.0,1.0,0.8779,,,38.0,33.0,,,0.0,11.0,11.0,22.0,27.0,1.0,3.0,,,,,90.0,49.0,7.4,10.0,0.140997,138.72157421145,13.0,43.006475959108,2.0,,1,,0.26,0.15,0.13,,4.0,,,,2.0,,0.7884,15.307058982743,32.569003322263,2.0,0.32,4.0,,1.0,,,2.0,,2.0,1.0,,,,1.0,2.0,1.0,1.0,0.9876,,
773409,Che Adams,19,2696,F,20.0,16.0,2.0,2.0,0.0,6.0,8.0,10.0,12.0,,2.0,,,,,67,28.0,6.5,7.0,0.0081,62.0049,7.0,25.7348,1.0,,0,,-0.08,0.02,0.14,,2.0,,,,2.0,1.0,,25.8047,27.1817,,,3.0,,,,,,,2.0,,,,,,1.0,,,,,,20.0,16.0,2.0,2.0,0.0,6.0,8.0,10.0,12.0,,2.0,,,,,67.0,28.0,6.5,7.0,0.00812404,62.004888700924,7.0,25.734821470486,1.0,,0,,-0.08,0.02,0.14,,2.0,,,,2.0,1.0,,25.804652240276,27.181683557131,,,3.0,,,,,,,2.0,,,,,,1.0,,,,,
